pkg_Title_ID	Region	Title_RIF_Missing	pkg_link	License	pkg_Content_ID	last_modified		pkg_File_Size		PSP2_SYSTEM_VER	APP_VER	VERSION
PCSB00040	EU	Asphalt: Injection          [ID: ASPHALTINJECTION]	http://zeus.dl.playstation.net/cdn/EP0001/PCSB00040_00/RImAqIzVlyikIuyTyKmWPqDxmZQPdSvlUdFFMEEhcObSljYBwsemhXPllYQPwSem.pkg	KO5ifR1dQ+e7BsBMdQI7Amx/cICHo0+Ip5+Xq3OIp78fPv9VSN6btTf65aHwFYmcHOoxFwd5dDCP9PQIADPJFJUA	EP0001-PCSB00040_00-ASPHALTINJECTION	2020/01/01		797725520		1.06	01.00	01.01
PCSB00041	EU	Dungeon Hunter: Alliance          [ID: DUNGEONHVITAGAME]	http://zeus.dl.playstation.net/cdn/EP0001/PCSB00041_00/AmfomuvUzSOIgbjfVoEIsNtmEEPhkuqfzDiVXkKxhyrsTKhlBvqajkxJRsTonzJF.pkg	KO5ifR1dQ+e7BsBMBak2MQTZ7xLq5+7q7+cR5hni6O7o64rPf3s4rNmDOOr4ttpqWD37miw6yKODeaSnRwDLthKO	EP0001-PCSB00041_00-DUNGEONHVITAGAME	2020/01/01		1094655984		1.06	01.00	01.01
PCSB00061	EU	Lumines Electronic Symphony          [ID: LUMINESELECTROSY]	http://zeus.dl.playstation.net/cdn/EP0001/PCSB00061_00/wcfCcaQpAebIWzeggFFIxBExVXYJtTWtICZALebydtvCfPmuUiHKPXKSvcmNtIZF.pkg	KO5ifR1dQ+e7BsBMBak2MwTZ7xPq6+nnGuzq4+ocEuQfHInPfx2sj/7utX+laydTJTm9vfLVII8O5pGeHgEUuxUb	EP0001-PCSB00061_00-LUMINESELECTROSY	2020/01/01		750855728		1.06	01.00	01.01
PCSB00074	EU	Assassin's Creed® III Liberation          [ID: AC3LIBERATION575]	http://zeus.dl.playstation.net/cdn/EP0001/PCSB00074_00/LVaHhMFjvqpTnhiMnzpDjMfHQaxXEQEzEJhRPRQAliNWHhSlBjbEJuvWVbAiHlTTzAaFbyMtOUlflQIgSkvrfpUrozTbiofnHKOOm.pkg	KO5ifR1dQ+e7BsBMBak2NwHb72zs4+nkGuQY4unvZ2puis9/P7p0dk70NGnzn7up2FuX/8xojA9uAAAgeRP4	EP0001-PCSB00074_00-AC3LIBERATION575	2020/01/01		3104203872		1.80	01.00	01.01
PCSB00079	EU	Rayman® Origins          [ID: RAYMANORIGINS000]	http://zeus.dl.playstation.net/cdn/EP0001/PCSB00079_00/qlZuAgYluBwonGoNYbdnShiZXywfhUTHqSRLscOEYpNUeNwhlKYDMmzTUVyifegg.pkg	KO5ifR1dQ+e7BsBMBak2twTZH+QY6evo5x/k6e7pFwwyAw/g1D941/uWzt5u0d8e/zy3Lxrk0cE80tMjADTYFToA	EP0001-PCSB00079_00-RAYMANORIGINS000	2020/01/01		966334432		1.06	01.00	01.01
PCSB00360	EU	Rayman® Legends          [ID: RAYMANLEGENDS000]	http://zeus.dl.playstation.net/cdn/EP0001/PCSB00360_00/bzxjporRcBREKhctGKwutvCHzQnagnMJQTFgqEAZkxnqdASqrLYmrAbqjvhHnipMjeRsZwCRtBccjNLuvDYXvtHmLxQXsFfSxCDMW.pkg	KO5ifR1dQ+e7BsBMBao2NgPbH+QY6evo5+Pq7urnEgwyAw/wVHy9P0Q8+aeI8vIfTTqqsoM8OphHenoEABKLE1QA	EP0001-PCSB00360_00-RAYMANLEGENDS000	2020/01/01		1063588576		2.12	01.00	01.01
PCSB00598	EU	Child of Light          [ID: CHILDOFLIGHT0000]	http://zeus.dl.playstation.net/cdn/EP0001/PCSB00598_00/EAMfBniHkRQwZbeAuhzZyiJwNGnfVOejcaQnlLGRwUKvHTFrQoNqDVcoIdLwRkHA.pkg	KO5ifR1dg/J5YXzXAJipQNWmlhYg+509PH1c/N18PN09wI7A5z/eW3ZXm29M8TF+dkT7kOtfoUEeHcwjPT0CAMHdFPUA	EP0001-PCSB00598_00-CHILDOFLIGHT0000	2020/01/01		1141710576		3.15	01.00	01.00
PCSB00642	EU	Tetris® Ultimate          [ID: TETRISGAME000000]	http://zeus.dl.playstation.net/cdn/EP0001/PCSB00642_00/EP0001-PCSB00642_00-TETRISGAME000000_bg_1_30c6e43b22c78267ef8f426a92417a677979bcf8.pkg	KO5ifR1dQ+e7BsBMBao2MzEC2R/iGhLkGezu6OsKsRSf/xaLfVmzvHwyV237ZKnKedO2j8b44AYAH1gUlwAA	EP0001-PCSB00642_00-TETRISGAME000000	2020/01/01		158284192		3.50	01.00	01.01
PCSB00792	EU	AC® Chronicles          [ID: ACCVITA000000001]	http://zeus.dl.playstation.net/cdn/EP0001/PCSB00792_00/EP0001-PCSB00792_00-ACCVITA000000001_bg_1_566e25c5347f97f86d487f0b4a0963f17456302d.pkg	KO5ifR1dQ+e7BsBMBao2tzQC2+/sHOYZ4gi3E5//XHzEe8Jet22RXvk1RiNxisVojA9uAACjAhMj	EP0001-PCSB00792_00-ACCVITA000000001	2020/01/01		3056572992		3.55	01.00	01.00
PCSB00213	EU	Call of Duty® Black Ops: Declassified          [ID: DECLASSIFIEDEU01]	http://zeus.dl.playstation.net/cdn/EP0002/PCSB00213_00/VtOyqhMkfJIlPNEPFmtoGhTpTPxLTHIzcqWkbXOMlXaLOqGeksitlBBpMDQQfdBr.pkg	KO5ifR1dQ+e7BsBsAao2MjQG2e/i6uzjGBzs6ebp6uIaamCIz39q7lZ9ttJdHr838v/lfq15ZjTGBzcAAKEGE7EA	EP0002-PCSB00213_00-DECLASSIFIEDEU01	2020/01/01		2383778032		1.80	01.00	01.00
