pkg_Title_ID	Region	Title_RIF_Missing	pkg_link	License	pkg_Content_ID	last_modified		pkg_File_Size		PSP2_SYSTEM_VER	APP_VER	VERSION
PCSB00232	EU	Call of Duty® Black Ops: Declassified (рус)          [ID: DECLASSIFIEDEU02]	http://zeus.dl.playstation.net/cdn/EP0002/PCSB00232_00/pgZOvULfvbIqsEfVpTKJHnjePlfsQvrdqVkCMuYydluDpTLoHVTakQshTvIJZeHe.pkg	KO5ifR1dQ+e7BsBsAao2MjYC2e/i6uzjGBzs6ebp6uIaamCEz3/TVc6VdOvZub5o4+FoC+rMGY3xwQ0A5XcTOQAA	EP0002-PCSB00232_00-DECLASSIFIEDEU02	2020/01/01		2322813008		1.80	01.00	01.00
PCSB00397	EU	Angry Birds™ Star Wars          [ID: ANGRYSTRWARS13VT]	http://zeus.dl.playstation.net/cdn/EP0002/PCSB00397_00/BrLKPqmEEKyhXtHuVsIhaTGbitrNYdAgWPShQOAxTAlHxwwSTuGYoXebDveigbNl.pkg	KO5ifR1dQ+e7BsBsAao2tjQH2+/nHhQZHBIU7hgUbGgcFoLPf0rfPBOXa9mr763dv6brk3nwaIwPbgAAjUAUygAA	EP0002-PCSB00397_00-ANGRYSTRWARS13VT	2020/01/01		240723872		2.61	01.00	01.02
PCSB00428	EU	The Amazing Spider-Man™          [ID: AMAZINGSPIDERMDL]	http://zeus.dl.playstation.net/cdn/EP0002/PCSB00428_00/QRXfBBRNGlPxaHDemPiXOKAHBSnZLCcBcxpCbUSpEnLjZwzJoDImDLYYckWhhBdQ.pkg	KO5ifR1dQ+e7BsBsAao2MbIA2+/rGOXp5x4c4OniGuTr4oPPfxFbKy7fFpx69qeI2HHRDumlozE+uAEA1XUU9AAA	EP0002-PCSB00428_00-AMAZINGSPIDERMDL	2020/01/01		3494893632		2.61	01.00	01.01
PCSB00716	EU	SpongeBob HeroPants          [ID: SPONGEHEROVITA15]	http://zeus.dl.playstation.net/cdn/EP0002/PCSB00716_00/EP0002-PCSB00716_00-SPONGEHEROVITA15_bg_1_5eab504374cbe796ce761ac0922a46da2a31d422.pkg	KO5ifR1dQ+e7BsBsAao2NzQD2R8c4O/n7urhGuQf5hniaGiKz39Vmo8S5P0WflVY91pa+uvmb6MxPrgBAIGcFWUA	EP0002-PCSB00716_00-SPONGEHEROVITA15	2020/01/01		1559543920		3.35	01.00	01.00
PCSB00769	EU	Geometry Wars³: Dimensions          [ID: GEOMETRYWARS3PSV]	http://zeus.dl.playstation.net/cdn/EP0002/PCSB00769_00/EP0002-PCSB00769_00-GEOMETRYWARS3PSV_bg_1_b1a3267769af4686bdb1420f729c6f0ee5ae1131.pkg	KO5ifR1dQ+e7BsBsAao2N7ME2e/u6u/rGhIUGe4YFGwcEByGz3+KyzLFL/KLXP9+v65VpGzXp9EYH9wAAHmdFVoA	EP0002-PCSB00769_00-GEOMETRYWARS3PSV	2020/01/01		78438928		3.50	01.00	01.02
PCSB00539	EU	CONCEPTION II Children of the Seven Stars          [ID: CONCEPTION2XXXXX]	http://zeus.dl.playstation.net/cdn/EP0005/PCSB00539_00/HZrpdkBAoEGLlOhhVfuZeByiHsehSnwGMAUBSxFKSiGExCacoTWmkOXYysPIYzyL.pkg	KO5ifR1dQ+e7BoCshao2NbYE2Q+03Nk1IMTT388oAgTw+a9S//8llX/SzF3Z7rVL2CcdGY3xwQ0AaqUUsQAA	EP0005-PCSB00539_00-CONCEPTION2XXXXX	2020/01/01		1480448144		3.01	01.00	01.00
PCSB00547	EU	CONCEPTION II Children of the Seven Stars (Demo)          [ID: CONCEPTION2TRIAL]	http://ares.dl.playstation.net/cdn/EP0005/PCSB00547_00/pbZcJulXLBoqyMBpOKiafwRiiwvIqUEdEKKXsnRcOvbEUqaXWScmOOCzaEqfBkTd.pkg	KO5ifR1dg/J5YXzXAJC1UNWmJuYg+4GWO7sGhHj6+xmFBHk6+uDz34YjRxcc0uXPnSu9tp8v/vju0Rgf3AAAPv8VMwAA	EP0005-PCSB00547_00-CONCEPTION2TRIAL	2020/01/01		645298992		3.01	01.00	01.00
PCSB00599	EU	Citizens of Earth          [ID: CITIZENSEARTHVIT]	http://zeus.dl.playstation.net/cdn/EP0005/PCSB00599_00/EP0005-PCSB00599_00-CITIZENSEARTHVIT_bg_1_36463ef81e798b7760db7f956d6716fb2f2122b0.pkg	KO5ifR1dQ+e7BoCshao2tbQE2e/sGeIZ5eoX7OoYFOIR5hmCz387o5UDIi7ulF6sE1lqm/zAfDTGBzcAAF9FFBAA	EP0005-PCSB00599_00-CITIZENSEARTHVIT	2020/01/01		1696276496		3.35	01.00	01.05
PCSB00660	EU	Rollers of the Realm          [ID: REALMROLLERSVITA]	http://zeus.dl.playstation.net/cdn/EP0005/PCSB00660_00/DLRmYLycoguGFEmkAnbbuHItMoChnoesXuVLEYrwCUHfexlWJnswCsCoAbnBoNwN.pkg	KO5ifR1dQ+e7BoCshao2MwPbH+Tq6OMb5O/j4xoUHOYZ4ojPfxMFpaxij9ycK37uXS979oF9gzw6mEd6egQA5/UVBQAA	EP0005-PCSB00660_00-REALMROLLERSVITA	2020/01/01		340319808		3.30	01.00	01.02
PCSB00686	EU	Citizens of Earth Demo          [ID: CITIZENSEARTHVIT]	http://zeus.dl.playstation.net/cdn/EP0005/PCSB00686_00/EP0005-PCSB00686_00-CITIZENSEARTHVIT_bg_1_445ad4833078c81b3ee11d4627baae53f41c15c7.pkg	KO5ifR1dQ+e7BoCshao2szAD2e/sGeIZ5eoX7OoYFOIR5hmCz3+XWs4/5pS/M+O2Z8qZqjrleaMxPrgBAG5hFeYA	EP0005-PCSB00686_00-CITIZENSEARTHVIT	2020/01/01		829585904		3.35	01.00	01.01
PCSB00082	EU	EA SPORTS™ FIFA Football Demo          [ID: FIFAVITA20120001]	http://ares.dl.playstation.net/cdn/EP0006/PCSB00082_00/CHkRCFjdNewwmuDJBKNFdPOwWDixqtFnfdvPrjdQmbontGTDqSVGcUbQOAWoSONK.pkg	KO5ifR1dg/J5YXzXAJCDYKotjED2u3m6OYZ5hjgaGRgagezE57/PT9im//9zQD5a6Ryf6LFj80ZjfHADAPriFR0A	EP0006-PCSB00082_00-FIFAVITA20120001	2020/01/01		1737906528		1.50	01.00	01.00
PCSB00083	EU	EA SPORTS™ FIFA Football Démo          [ID: FIFAVITA20120001]	http://ares.dl.playstation.net/cdn/EP0006/PCSB00083_00/FTZyeBhJqcMXaRtFhaqLfUaOoeMphURciXiWVuVxTdDYioSLMcxjNSgSWOlgQrwq.pkg	KO5ifR1dg/J5YXzXAJCDYKotjEH2u3m6OYZ5hjgaGRgagezE578vs4/PzlFn35STerJU4Ognz9EYH9wAABUiFJQA	EP0006-PCSB00083_00-FIFAVITA20120001	2020/01/01		1720495712		1.50	01.00	01.00
PCSB00084	EU	EA SPORTS™ FIFA Football Demo          [ID: FIFAVITA20120001]	http://ares.dl.playstation.net/cdn/EP0006/PCSB00084_00/wfUNhyTiJMkWVhdDzeHXdtPJIJABvNCRJTnTxETCOCuinsaeRxGriWqmCqepfHsg.pkg	KO5ifR1dg/J5YXzXAJCDYKotTED2u3m6OYZ5hjgaGRgagezE579SKZcW2/+tbxRjHRRNhbb9Ho3xwQ0AkrcTFAAA	EP0006-PCSB00084_00-FIFAVITA20120001	2020/01/01		1590151200		1.50	01.00	01.00
PCSB00086	EU	EA SPORTS™ FIFA Football Demo          [ID: FIFAVITA20120001]	http://ares.dl.playstation.net/cdn/EP0006/PCSB00086_00/EmajOiNTUmPkkAAITonEdJqBaKrNZfUlatxQBBNkIzRDLBrPCWuhVIaDBgiAwMSN.pkg	KO5ifR1dg/J5YXzXAJCDYKotzED2u3m6OYZ5hjgaGRgagezE5z/+xNcspxNC3QV+V7d++vH5+WiMD24AAAayFTAA	EP0006-PCSB00086_00-FIFAVITA20120001	2020/01/01		1640014112		1.50	01.00	01.00
PCSB00170	EU	FIFA 13          [ID: FIFAVITA20130001]	http://zeus.dl.playstation.net/cdn/EP0006/PCSB00170_00/VXcZZzKerRvXhikNsbXDRRPjTtZOAzHGIutGBVMUONauzvuKgttITcKTXtgqSWsf.pkg	KO5ifR1dQ+e7BoAcBFVtaA62383TzTHMM8TRyMAQ5DRDfP5rW+8X2uxqqxfN29Evd2bL1dEYH9wAAK1wEygA	EP0006-PCSB00170_00-FIFAVITA20130001	2020/01/01		2986150544		1.69	01.00	01.00
PCSB00183	EU	Need For Speed™ Most Wanted          [ID: NFSMW000VITA00EU]	http://zeus.dl.playstation.net/cdn/EP0006/PCSB00183_00/XEFaAutdiMpokzLvDtOHpwbqpobsZPcDFmiFIuVJodsgFmnWdaDrWMzzEaIrwCUC.pkg	KO5ifR1dQ+e7BoAcBFVtaGEMst/PLdg3HCgc5hkCNMo1FJ//FuvqxvTEPJl/2v37Jbdns01HY3xwAwA9JRVC	EP0006-PCSB00183_00-NFSMW000VITA00EU	2020/01/01		2645004368		1.80	01.00	01.00
PCSB00339	EU	FIFA 14          [ID: FIFAVITA20140001]	http://zeus.dl.playstation.net/cdn/EP0006/PCSB00339_00/mBoHKNgrRqTZRhyKBtGHAanAlSGhjOSJzWkltJnAMoWnoUqoHISrPAtPBJmDputl.pkg	KO5ifR1dQ+e7BoAcBFVtbGwJst/N080xzDPE0cjAEOQqQ3z+U7w4fe4Pfv2ZqXuNCtt+Wc4cjfHBDQCCGRQ/	EP0006-PCSB00339_00-FIFAVITA20140001	2020/01/01		3107848688		2.60	01.00	01.00
PCSB00603	EU	FIFA 15          [ID: FIFAVITA20150001]	http://zeus.dl.playstation.net/cdn/EP0006/PCSB00603_00/XLjWFSQtaavfctmAHxKqTIKZgMmSNTrTvNvMcbDoUFLovLHRFceoWLZGyaapSpmj.pkg	KO5ifR1dQ+e7BoAcBFVtZmAMst/N080xzDPE0cjA0BRkJz7/HXl1q3jtn4Aq5cdvGtYW5P8ajfHBDQBinBaU	EP0006-PCSB00603_00-FIFAVITA20150001	2020/01/01		3115167104		3.15	01.00	01.01
PCSB00604	EU	FIFA 15          [ID: FIFAVITA20150001]	http://zeus.dl.playstation.net/cdn/EP0006/PCSB00604_00/XlIGNwDztYTNecWGBfwvTEEGRIFUMMVvYKBRzFffGdVQBBYSMoYSXqNDWolBrVRU.pkg	KO5ifR1dQ+e7BoAcBFVtZmACst/N080xzDPE0cjA0BRkJz7/nYoQ462rnTndtnf5bsG3eRtGY3xwAwDqThPn	EP0006-PCSB00604_00-FIFAVITA20150001	2020/01/01		3215623024		3.15	01.00	01.01
PCSB00605	EU	FIFA 15          [ID: FIFAVITA20150001]	http://zeus.dl.playstation.net/cdn/EP0006/PCSB00605_00/zFjIsvQPGYeKUgbqpnHnebanHztfrnEruyrrykuJywJQJAXSKWJGXxujcwhwaYFA.pkg	KO5ifR1dQ+e7BoAcBFVtZmAKst/N080xzDPE0cjA0BRkJz7/zf8kZXJvnSPXrQ1emwVqD3ePxvjgBgCRtRRI	EP0006-PCSB00605_00-FIFAVITA20150001	2020/01/01		3114079968		3.15	01.00	01.01
PCSB00607	EU	FIFA 15          [ID: FIFAVITA20150001]	http://zeus.dl.playstation.net/cdn/EP0006/PCSB00607_00/ZEsFWgzLjBSMcesrJjeyFAtZBKFGPmqItCgBbvKYekQlCxbpAsgpfEmuWWUQVacD.pkg	KO5ifR1dQ+e7BoAcBFVtZmAOst/N080xzDPE0cjA0BRkJz7/Za7SvC8gZd1p1zBB9ZaVetBojA9uAAAsphI7	EP0006-PCSB00607_00-FIFAVITA20150001	2020/01/01		3025855760		3.15	01.00	01.01
PCSF00105	EU	Plants vs Zombies          [ID: PLANTSVSZOMBIES0]	http://zeus.dl.playstation.net/cdn/EP0017/PCSF00105_00/peMABLgWNMKkHjWSJaCtSZffANuGClEiPPYaLcQPsWwVRHmCWkUfZsXVxOfcEykh.pkg	KO5ifR1dQ+e7BgANNYeaZmhgCrI/wMfRLyQ4LDjK39fJ0zXYAJ//jvmd4dwnYvvKNuXWnYqVNsWjMT64AQAwzxUr	EP0017-PCSF00105_00-PLANTSVSZOMBIES0	2020/01/01		90019968		1.52	01.00	01.01
PCSB00473	EU	Monster Monpiece          [ID: MONSTERMONPIECE1]	http://zeus.dl.playstation.net/cdn/EP0031/PCSB00473_00/fRZMUnrDxtdbRkDHNkKGiafhuanpiBFtArhNzOBqlTFBpfttEhZjAvIiXrLoLfNh.pkg	KO5ifR1dQ+e7BgDtN4SqNjE3Btnv6+8XHOIaBKQCPF2dXQ3x+W/hjsIq1dkdujw1spfzGjy0R2N8cAMAl3cTmQAA	EP0031-PCSB00473_00-MONSTERMONPIECE1	2020/01/01		1945036224		3.12	01.00	01.03
PCSB00579	EU	Hyperdimension Neptunia Re;Birth1          [ID: NEPTUNEREBIRTH01]	http://zeus.dl.playstation.net/cdn/EP0031/PCSB00579_00/SVXYotxpijFYRkKBJIHrTbzXujTjDlvQCbnFzMqhKGaNiaDghOyLqKtKheuucvoC.pkg	KO5ifR1dQ+e7BgDtN4SqNjW3BNnv5xoQEurnGuTq5BkU4mFgiM9/2y/UaawS22vXe2f30cjp8wpGY3xwAwAnyRXE	EP0031-PCSB00579_00-NEPTUNEREBIRTH01	2020/01/01		3220619104		3.15	01.00	01.01
PCSB00626	EU	Hyperdimension Neptunia Re;Birth2 SISTERS GENERATION          [ID: NEPTUNEREBIRTH02]	http://zeus.dl.playstation.net/cdn/EP0031/PCSB00626_00/VwKIVwdhwkVRuZnIPzBuDBBLfMungRHbplWCtqRQgpTwJVVtDUNLAUsFkaruyudV.pkg	KO5ifR1dQ+e7BgDtN4SqNjMyA9nv5xoQEurnGuTq5BkU4mFghM9/Cd/3lGinX98Xv+TSnKetIoqjMT64AQAFTBWt	EP0031-PCSB00626_00-NEPTUNEREBIRTH02	2020/01/01		3589763328		3.30	01.00	01.00
PCSB00701	EU	Hyperdevotion Noire: Goddess Black Heart          [ID: NORBLACKHEART000]	http://zeus.dl.playstation.net/cdn/EP0031/PCSB00701_00/EP0031-PCSB00701_00-NORBLACKHEART000_bg_1_713044a890c789aab98fa30889223751181e8835.pkg	KO5ifR1dQ+e7BgDtN4SqNjcwBNnv5x/k5OPo7O3h6hgEcgU+/2WFedl6rPB5XttSOn/+hCie0Rgf3AAAurATvAAA	EP0031-PCSB00701_00-NORBLACKHEART000	2020/01/01		1611856080		3.35	01.00	01.01
PCSB00710	EU	HYPERDIMENSION NEPTUNIA U: Action Unleashed          [ID: ULTIMATECLASHNEP]	http://zeus.dl.playstation.net/cdn/EP0031/PCSB00710_00/EP0031-PCSB00710_00-ULTIMATECLASHNEP_bg_1_ac3eec835fe2be83f0232f5b0ddde7f920b59cf9.pkg	KO5ifR1dQ+e7BgDtN4SqNjcE2x/qE+Lp6xji6uzjGOzh5xqAz39nc0pn3vzmG1ih3rzop3Hh0dEYH9wAAGKfFeUA	EP0031-PCSB00710_00-ULTIMATECLASHNEP	2020/01/01		1626478320		3.36	01.00	01.01
PCSB00740	EU	Amnesia: Memories          [ID: AMNESIAMEMORIES1]	http://zeus.dl.playstation.net/cdn/EP0031/PCSB00740_00/EP0031-PCSB00740_00-AMNESIAMEMORIES1_bg_1_7f062ef17d810c7795163b975adae77ba0577b4b.pkg	KO5ifR1dQ+e7BgDtN4SqNjeB2O/r5xrs6ejr6usf5OkabIjPf4UKu71Svj/N5NjOXDrx6ab5ozE+uAEAHUQVKAAA	EP0031-PCSB00740_00-AMNESIAMEMORIES1	2020/01/01		2150153968		3.50	01.00	01.01
PCSB00751	EU	Hyperdimension Neptunia Re;Birth3 V GENERATION          [ID: NEPTUNEREBIRTH03]	http://zeus.dl.playstation.net/cdn/EP0031/PCSB00751_00/EP0031-PCSB00751_00-NEPTUNEREBIRTH03_bg_1_98678d1b2e3405ebafed3a88e95b221c9eed64a9.pkg	KO5ifR1dQ+e7BgDtN4SqNjc1BNnv5xoQEurnGuTq5BkU4mFgjM9/vw/uOX5OY2K4isqvjNae7hWjMT64AQCGTBX6	EP0031-PCSB00751_00-NEPTUNEREBIRTH03	2020/01/01		2974705376		3.50	01.00	01.00
PCSB00904	EU	Trillion: God of Destruction          [ID: TRILLIONGOD00000]	http://zeus.dl.playstation.net/cdn/EP0031/PCSB00904_00/EP0031-PCSB00904_00-TRILLIONGOD00000_bg_1_cdc075557e1cf6667c8caa7c45fa7cebad853ebf.pkg	KO5ifR1dQ+e7BgDtN4SqtjQwAdkfEuTp4+Pp7+fu7wK2FJ//BEUevPG02vTXmLv1hMMjf/fRGB/cAAAf+BP6	EP0031-PCSB00904_00-TRILLIONGOD00000	2020/01/01		3402682368		3.55	01.00	01.00
PCSB00921	EU	MegaTagmension Blanc + Neptune VS Zombies          [ID: GEKIBLANCNEP0000]	http://zeus.dl.playstation.net/cdn/EP0031/PCSB00921_00/EP0031-PCSB00921_00-GEKIBLANCNEP0000_bg_1_458997e4dd9d987094893cc211b1afefbae544ee.pkg	KO5ifR1dQ+e7BgDtN4SqtjQyBNnv7urt6eTj6OfsB5IFmoEHrDlT9LPx54J3lhtDjBbN4pg8GuODGwAA/ZAVsQAA	EP0031-PCSB00921_00-GEKIBLANCNEP0000	2020/01/01		1632807936		3.57	01.00	01.01
PCSB00977	EU	Superdimension Neptune vs Sega Hard Girls          [ID: G000000000000899]	http://zeus.dl.playstation.net/cdn/EP0031/PCSB00977_00/EP0031-PCSB00977_00-G000000000000899_bg_1_b6d6391389c54cb8ebbf5f67899bcc632bc511cb.pkg	KO5ifR1dQ+e7BgDtN4SqtjQ3B9mPZB/QiZaW+Pwn3/NNafNBhSNt7FKOStmcuqMxPrgBAKhfEV4A	EP0031-PCSB00977_00-G000000000000899	2020/01/01		1601572048		3.60	01.00	01.02
PCSB00990	EU	MeiQ          [ID: MEIQNOTIKANI0000]	http://zeus.dl.playstation.net/cdn/EP0031/PCSB00990_00/EP0031-PCSB00990_00-MEIQNOTIKANI0000_bg_1_8343e90548abf031149e045c924ca1235a85d593.pkg	KO5ifR1dQ+e7BgDtN4SqtrQE2+/r6hno5x/i6e3o5wmyFJ//7G5c7l7NE3JVdHEvh/vM1oejMT64AQAhcxSS	EP0031-PCSB00990_00-MEIQNOTIKANI0000	2020/01/01		1571940496		3.60	01.00	01.00
PCSB01032	EU	Hakuoki: Kyoto Winds          [ID: HAKUOKISHINKAI01]	http://zeus.dl.playstation.net/cdn/EP0031/PCSB01032_00/EP0031-PCSB01032_00-HAKUOKISHINKAI01_bg_1_644571704399bf05026370f3e76be3bf6624bd4c.pkg	KO5ifR1dQ+e7BgDtN4SoNjQwNgLZ7+HoHerv7Rns4enn7ehpYIjPf+u9OvXaFl9ZkrpS8f/iik7n0Rgf3AAAKjwVMAAA	EP0031-PCSB01032_00-HAKUOKISHINKAI01	2020/01/01		3197273584		3.63	01.00	01.00
PCSB01056	EU	Hakuoki: Edo Blossoms          [ID: HAKUOKISHINKAI02]	http://zeus.dl.playstation.net/cdn/EP0031/PCSB01056_00/EP0031-PCSB01056_00-HAKUOKISHINKAI02_bg_1_15624fd61006c2db07ddb5903b240f4cf85a5fde.pkg	KO5ifR1dQ+e7BgDtN4SoNjQwNQPZ7+HoHerv7Rns4enn7ehpYITPf8atT0J/KW875Wv3MMY/ltd4NMYHNwAAWnIUEwAA	EP0031-PCSB01056_00-HAKUOKISHINKAI02	2020/01/01		3415767936		3.65	01.00	01.00
PCSB01059	EU	Mary Skelter: Nightmares          [ID: MARYSKELTERNIGHT]	http://zeus.dl.playstation.net/cdn/EP0031/PCSB01059_00/EP0031-PCSB01059_00-MARYSKELTERNIGHT_bg_1_1e8afc631f90a63add3cad18af0d5b2b4b020e73.pkg	KO5ifR1dQ+e7BgDtN4SoNjQwtQTZ7+sYFBns7eoT4hrk5+nuEYLPf8/aJHQWPak5yH3u1OzKX0vMRmN8cAMA10EWKgAA	EP0031-PCSB01059_00-MARYSKELTERNIGHT	2020/01/01		3180261072		3.65	01.00	01.00
PCSB00591	EU	Magical Beat          [ID: MAGICALBEAT00000]	http://zeus.dl.playstation.net/cdn/EP0036/PCSB00591_00/AJKplGUkzylbkPSpNUHXnIncnJnhboZWFAcRmhKFGqaQCceMMVTdwAeaNjQlkXin.pkg	KO5ifR1dQ+e7BgDtN4OqNrU0BNnv6+ju6ezo4+TqCHaDAT7/ubDs5ZokZGakEro1f6/u7mOjMT64AQCcSRKB	EP0036-PCSB00591_00-MAGICALBEAT00000	2020/01/01		184893824		3.15	01.00	01.03
PCSB00614	EU	Magical Beat  Demo          [ID: MAGICALBEATDEMO0]	http://zeus.dl.playstation.net/cdn/EP0036/PCSB00614_00/nBuworXLzlLSjdclsevZCkjBNvetbYcZrgnUpjbewrtjKCKZBOiaavuIvORKNaMl.pkg	KO5ifR1dQ+e7BgDtN4OqNjM0Adnv6+ju6ezo4+TqGOLi6utvgM9/FZ6T/l7hcP4w4V3YTmX9pxdGY3xwAwD9uBWy	EP0036-PCSB00614_00-MAGICALBEATDEMO0	2020/01/01		181451648		3.15	01.00	01.00
PCSB00663	EU	FANTASY HERO～unsigned legacy～          [ID: FANTASYHERO00000]	http://zeus.dl.playstation.net/cdn/EP0036/PCSB00663_00/EP0036-PCSB00663_00-FANTASYHERO00000_bg_1_eb68250ff81a6ef6f6ca4bb0e5c5e5d466abb286.pkg	KO5ifR1dg/J5YXzXAKD9ZlDVZmbGIPvdHP1CHIMjPVyD/MGW4vPfj6nHtY//3cymmHO8qND5pMAgjw7mkZ4eAcyRFPUA	EP0036-PCSB00663_00-FANTASYHERO00000	2020/01/01		619941456		3.35	01.00	01.01
PCSB00704	EU	Damascus Gear: Operation Tokyo          [ID: DGEARZERO0000000]	http://zeus.dl.playstation.net/cdn/EP0036/PCSB00704_00/EP0036-PCSB00704_00-DGEARZERO0000000_bg_1_26d5958ab60fdf9c70e8a3a93a85547359e67456.pkg	KO5ifR1dQ+e7BgDtN4OqNjcwAdnv4u7qGBTlGuQPtRSf/15HWjX9PP4mPODO+/5AQfeg0Rgf3AAAx+oU+wAA	EP0036-PCSB00704_00-DGEARZERO0000000	2020/01/01		694288560		3.36	01.00	01.01
