pkg_Title_ID	Region	Title_RIF_Missing	pkg_link	License	pkg_Content_ID			pkg_File_Size
NPED00034	EU	[PS2]Sonic Heroes     [ID:NPED00034-GSONICHERO000ENG]	http://zeus.dl.playstation.net/cdn/EP0177/NPED00034_00/mYScoWqIhOIXoNoRxgLIzosJaUiqavOBsGaUwUuLAiJfRkbOMOBJMXXIhrdWcgpb.pkg	47abd7a4ba240dece785ef907c87dbb3	EP0177-NPED00034_00-GSONICHERO000ENG			4727452672
NPED00034	EU	[PS2]Sonic Heroes     [ID:NPED00034-GSONICHERO000FRE]	http://zeus.dl.playstation.net/cdn/EP0177/NPED00034_00/vEjrMFJSYFGWJcrAKKvoRXhQVSEUvrLrmqNzjvBQgQDhLRCbnWZahBvgswroSwGH.pkg	a76f0f748d102be7a96aa73d4cd16262	EP0177-NPED00034_00-GSONICHERO000FRE			4727346096
NPED00063	EU	[*RAP MISSING][PS2]Grand Theft Auto 3     [ID:NPED00063-GGRANDTHEF000ANZ]	http://zeus.dl.playstation.net/cdn/EP1004/NPED00063_00/QkqonLBqgpkGBvRAAsIZDSvGARIeuLQUzEXrqbrQjzJUOnduhXVqyZYEnXZKHXSj.pkg	UNLOCK BY RIF	EP1004-NPED00063_00-GGRANDTHEF000ANZ			4727512784
NPED00063	EU	[*RAP MISSING][PS2]Grand Theft Auto 3     [ID:NPED00063-GGRANDTHEF000ENG]	http://zeus.dl.playstation.net/cdn/EP1004/NPED00063_00/WchRGsvgTlIhXkfjmOOdDRLUzYeKQNhTEMHSJHScreVwQdaMyEElNJnqBMPpujlY.pkg	UNLOCK BY RIF	EP1004-NPED00063_00-GGRANDTHEF000ENG			4727512784
NPED00063	EU	[PS2]Grand Theft Auto 3     [ID:NPED00063-GGRANDTHEF000GER]	http://zeus.dl.playstation.net/cdn/EP1004/NPED00063_00/tDfzFIrHxTyaHnGCgllDiTtFSoxLofgjHbIsbXakcpBdJyZmUcoIirjIdRijyFbT.pkg	63a800fb68753087c3673c1567910f2d	EP1004-NPED00063_00-GGRANDTHEF000GER			4727539216
NPED00064	EU	[*RAP MISSING][PS2]Grand Theft Auto: Liberty City Stories     [ID:NPED00064-GGRANDTHEF000ENG]	http://zeus.dl.playstation.net/cdn/EP1004/NPED00064_00/WEJGMAvMBWXpWfjdbeqPcbfRpiIObsXLaTCaqfqBHxEAyOhhEtLwTeTHWaXQjjQy.pkg	UNLOCK BY RIF	EP1004-NPED00064_00-GGRANDTHEF000ENG			4016683024
NPED00065	EU	[*RAP MISSING][PS2]Grand Theft Auto: Vice City Stories     [ID:NPED00065-GGRANDTHEF000ENG]	http://zeus.dl.playstation.net/cdn/EP1004/NPED00065_00/LczBxqtTNtnnnnAVghdvRRxFgxwOkupbMXIZAEhJvDZpJGpfnnbxmbvDreeevMwT.pkg	UNLOCK BY RIF	EP1004-NPED00065_00-GGRANDTHEF000ENG			4168019584
NPED00066	EU	[*RAP MISSING][PS2]Midnight Club 3: Dub Edition Remix     [ID:NPED00066-GMIDNIGHTC000ENG]	http://zeus.dl.playstation.net/cdn/EP1004/NPED00066_00/bNjtwqAfpcEyypAVEvcFoEffuMhFfyERfAWUXHBilahKSczoLExvfKtDtZFzeoFN.pkg	UNLOCK BY RIF	EP1004-NPED00066_00-GMIDNIGHTC000ENG			8576245328
NPED00067	EU	[*RAP MISSING][PS2]Manhunt     [ID:NPED00067-GMANHUNTXX000ENG]	http://zeus.dl.playstation.net/cdn/EP1004/NPED00067_00/LgvDeqWxsaiGMwoXRBucHDZogmRhiGDZGShxmaIhunTuHaCSGysSYVKNIfonzZNc.pkg	UNLOCK BY RIF	EP1004-NPED00067_00-GMANHUNTXX000ENG			4727545200
NPED00070	EU	[*RAP MISSING][PS2]Grand Theft Auto: San Andreas     [ID:NPED00070-GGRANDTHEF000ENG]	http://zeus.dl.playstation.net/cdn/EP1004/NPED00070_00/cYHOulFCGrJPBGwgPOitADkrNibAtuRhoQDYvcsvzarUlCoIqwFqVmaNhfVcSsLV.pkg	UNLOCK BY RIF	EP1004-NPED00070_00-GGRANDTHEF000ENG			4526950864
