pkg_Title_ID	Region	Title_RIF_Missing	pkg_link	License	pkg_Content_ID	last_modified	pkg_File_Size		VERSION
PCSB00598	EU	Child of Light - The Golem’s Plight Pack          [ID: DLC0100000000000]	http://zeus.dl.playstation.net/cdn/EP0001/PCSB00598_00/diYEJwoOcjdeNEaSjSsDKgDJRYtXGLHxoDGCIauFJNwLirJrAdFnvJgvzhDLOLkq.pkg	KO5ifR1dQ+e7BsBMBao2tbQA2e/i42xgiLDTAJ//nvQ9eCp1tvjbmdQNjQFqyYGjMT64AQBAaRS6	EP0001-PCSB00598_00-DLC0100000000000	2020/01/01	102400		01.00
PCSB00598	EU	Child of Light - Light Pack          [ID: DLC0200000000000]	http://zeus.dl.playstation.net/cdn/EP0001/PCSB00598_00/bjUVTRUcGTwsTKVdoFkzLDLbBClKvxlWvkOIVEyWArYwsfiBnYCAoNvAAzPLPIFU.pkg	KO5ifR1dQ+e7BsBMBao2tbQA2e/i42xghLDTAJ//7pQrrzD2XRxxv7hslfZi9pzRGB/cAABIGxL0	EP0001-PCSB00598_00-DLC0200000000000	2020/01/01	102400		01.00
PCSB00598	EU	Child of Light - Dark Pack          [ID: DLC0300000000000]	http://zeus.dl.playstation.net/cdn/EP0001/PCSB00598_00/mPVMcOYRmKRLoAaplzdiwIHgzZAkDyapgYaBGcnaSrRZGsNadfbqLzvFVbWxtOCP.pkg	KO5ifR1dQ+e7BsBMBao2tbQA2e/i4wxxExTg85+jb7qeh27Q9NrI2Kunl7luG43xwQ0ArFcSngAA	EP0001-PCSB00598_00-DLC0300000000000	2020/01/01	102400		01.00
PCSB00598	EU	Child of Light - Rough Oculi Pack          [ID: DLC0400000000000]	http://zeus.dl.playstation.net/cdn/EP0001/PCSB00598_00/AvDQqcuILABfkaaTTRgatCMjRrFpRyMgxUegrDxLVGofHuAPZuwEtTtKfCLYXDBP.pkg	KO5ifR1dQ+e7BsBMBao2tbQA2e/i4wxxDhTg8192REuy+/8zp9cU3Zy/qazaezTGBzcAACxXFLUA	EP0001-PCSB00598_00-DLC0400000000000	2020/01/01	102400		01.00
PCSB00598	EU	Child of Light - Tumbled Oculi Pack          [ID: DLC0500000000000]	http://zeus.dl.playstation.net/cdn/EP0001/PCSB00598_00/dNTElhmFnnzzSJaHnVMlvAElwasCtETIihagWpBnWHXflzXLlSApsHDAopjFxexk.pkg	KO5ifR1dQ+e7BsBMBao2tbQA2e/i4wx0CQLg898PjoPTFnkoBBeFtds9sV+uPRrjgxsAAClcEuEA	EP0001-PCSB00598_00-DLC0500000000000	2020/01/01	102400		01.00
PCSB00598	EU	Child of Light - Faceted Oculi Pack          [ID: DLC0600000000000]	http://zeus.dl.playstation.net/cdn/EP0001/PCSB00598_00/SqMelqGkvoDgbvXTuDLtkPKbwMznxJVInSVBYItOuWFerZhhAnEPrvSDpKrMnEDV.pkg	KO5ifR1dQ+e7BsBMBao2tbQA2e/i4wxxIxTg899Npz+7l/csKgp2FWoxrp7aNxrjgxsAAKXHE8QA	EP0001-PCSB00598_00-DLC0600000000000	2020/01/01	102400		01.00
PCSB00598	EU	Child of Light - Stardust Pack          [ID: DLC0700000000000]	http://zeus.dl.playstation.net/cdn/EP0001/PCSB00598_00/ulgkweAdtOKtpVikhxaYEQoQEYkweQMNsVDGXkdahmlRCcJRoaocOYYWVgTgrlhF.pkg	KO5ifR1dQ+e7BsBMBao2tbQA2e/i4wxxHhTg89/BfpdHbF13eULUnlryHmIvGI3xwQ0AgVISegAA	EP0001-PCSB00598_00-DLC0700000000000	2020/01/01	102400		01.00
PCSB00539	EU	CONCEPTION II Disciple Weapon Pack          [ID: CONCEPTION2DLC01]	http://zeus.dl.playstation.net/cdn/EP0005/PCSB00539_00/amxOsvowOrMRAzsagxToWkgXPjUgCYciThmznDMcveewPFbuzQbSZBCgCgUQcCmf.pkg	KO5ifR1dQ+e7BoCshao2NbYE2Q+03Nk1IMTT38/IxcfZwBCf/94cEL6huOBpatrXNxOC5ZmejMb44AYAxB4ViwAA	EP0005-PCSB00539_00-CONCEPTION2DLC01	2020/01/01	102400		01.00
PCSB00539	EU	CONCEPTION II Alternate Costume Set          [ID: CONCEPTION2DLC02]	http://zeus.dl.playstation.net/cdn/EP0005/PCSB00539_00/WRvUAtyxrFrjAUfWSyemOZtxqKYINCFhcQVEKSmplExhbEAoFhLkQEaRazaqqUkk.pkg	KO5ifR1dQ+e7BoCshao2NbYE2Q+03Nk1IMTT38/IxcfZwAif/wrOzfJyOv+hqNpntmRggHPnaIwPbgAAk4EUOAAA	EP0005-PCSB00539_00-CONCEPTION2DLC02	2020/01/01	102400		01.00
PCSB00539	EU	CONCEPTION II Cool Professional          [ID: CONCEPTION2DLC03]	http://zeus.dl.playstation.net/cdn/EP0005/PCSB00539_00/qmwYRSeoOfTpouHLJafnowegLoNuNqrkIhyjdotFJTrXiOwBpLcRRXhQXbDoGktH.pkg	KO5ifR1dQ+e7BoCshao2NbYE2Q+03Nk1IMTT38/IxcfZwBif/2p5uhepqiQ9y2/JfOwqvH39aIwPbgAAK64UAAAA	EP0005-PCSB00539_00-CONCEPTION2DLC03	2020/01/01	102400		01.00
PCSB00539	EU	CONCEPTION II Love and Magic          [ID: CONCEPTION2DLC04]	http://zeus.dl.playstation.net/cdn/EP0005/PCSB00539_00/dnDzcGMYhMgQNdOTkrjvhYNTcnyIuTthjOAusHHiTaDIhznzErXTOhwKlGespzga.pkg	KO5ifR1dQ+e7BoCshao2NbYE2Q+03Nk1IMTT38/IxcfZwASf/640C8xwWlkaf3rywoSOqy+yR2N8cAMAufIVigAA	EP0005-PCSB00539_00-CONCEPTION2DLC04	2020/01/01	102400		01.00
PCSB00539	EU	CONCEPTION II Seeking Power          [ID: CONCEPTION2DLC05]	http://zeus.dl.playstation.net/cdn/EP0005/PCSB00539_00/BbFEOaCtOqXcdlbqlKgugPwxwSHCuivacjxUFszrsmhXWWFwlvQfZgBiKdjaapQP.pkg	KO5ifR1dQ+e7BoCshao2NbYE2Q+03Nk1IMTT38/IxcfZwBSf/5rmT9p98uC2jIor2jF2Sm1LR2N8cAMAM0kVMgAA	EP0005-PCSB00539_00-CONCEPTION2DLC05	2020/01/01	102400		01.00
PCSB00539	EU	CONCEPTION II Clad in Gold          [ID: CONCEPTION2DLC06]	http://zeus.dl.playstation.net/cdn/EP0005/PCSB00539_00/NxrmQgeOSCZHHMUgCvhPulnxuJlSZiGwbWPLutzrClDZFWUSTWaSzFwiwSaITftH.pkg	KO5ifR1dQ+e7BoCshao2NbYE2Q+03Nk1IMTT38/IxcfZwAyf/6ZNTvsStv5ZhdKLFydkZTYrj8b44AYAle0VbgAA	EP0005-PCSB00539_00-CONCEPTION2DLC06	2020/01/01	102400		01.00
PCSB00539	EU	CONCEPTION II Echoing Song          [ID: CONCEPTION2DLC07]	http://zeus.dl.playstation.net/cdn/EP0005/PCSB00539_00/EfnaDWIbEQxvPfMQyvrjDQmCLhcsBfimmqdeYrpkPDmrqyyIWWavYAWNQGkGRbgs.pkg	KO5ifR1dQ+e7BoCshao2NbYE2Q+03Nk1IMTT38/IxcfZwByf/15MTysrk2i0WfhFQHifN2/DaIwPbgAAuW0TtAAA	EP0005-PCSB00539_00-CONCEPTION2DLC07	2020/01/01	102400		01.00
PCSB00539	EU	CONCEPTION II Tricks 'n Technique          [ID: CONCEPTION2DLC08]	http://zeus.dl.playstation.net/cdn/EP0005/PCSB00539_00/kodwiqrsiKUdoWPPQlbzQfEgVMwMWiFoDEEtemTWfAMEjCPsdLdkkEdyHuiSCKTA.pkg	KO5ifR1dQ+e7BoCshao2NbYE2Q+03Nk1IMTT38/IxccZ6Eg84J/rodt/E7V5X91w+1lnEDV3NMYHNwAATlEV3QAA	EP0005-PCSB00539_00-CONCEPTION2DLC08	2020/01/01	102400		01.00
PCSB00539	EU	CONCEPTION II The Enduring One          [ID: CONCEPTION2DLC09]	http://zeus.dl.playstation.net/cdn/EP0005/PCSB00539_00/TdiPUJpNZWfTaqbFBxkoayIbrHwSlAMcMCAscvLIKtuOuqoqzzmpqEThuPKzjvzr.pkg	KO5ifR1dQ+e7BoCshao2NbYE2Q+03Nk1IMTT38/IxccZxfkYoPHH84buxdKWHxwzP/vNDlw9GuODGwAA1s0VlgAA	EP0005-PCSB00539_00-CONCEPTION2DLC09	2020/01/01	102400		01.00
PCSB00539	EU	CONCEPTION II Serious Sagitta          [ID: CONCEPTION2DLC10]	http://zeus.dl.playstation.net/cdn/EP0005/PCSB00539_00/xELWFZjXMpWxKpIQcRxCCzVLEhDvTeUtipiqyhbPDFhHigSETbNbvJAcHksmHUcU.pkg	KO5ifR1dQ+e7BoCshao2NbYE2Q+03Nk1IMTT38/IxcfZ0ACf/9Se/DwvmbsqK+PE1IJyzQr/0Rgf3AAAd8kUwgAA	EP0005-PCSB00539_00-CONCEPTION2DLC10	2020/01/01	102400		01.00
PCSB00539	EU	CONCEPTION II Serious Bootes          [ID: CONCEPTION2DLC11]	http://zeus.dl.playstation.net/cdn/EP0005/PCSB00539_00/vKVZrxlUIbXvpdAtOXNhIBTmiZuBHAQxcESqfSEJrlgkCBPRcHAWxvigrYadVAtn.pkg	KO5ifR1dQ+e7BoCshao2NbYE2Q+03Nk1IMTT38/IxcfZ0BCf/w5zxt1itf25oj6b6/7dypcbRmN8cAMAd3oVZAAA	EP0005-PCSB00539_00-CONCEPTION2DLC11	2020/01/01	102400		01.00
