pkg_Title_ID	Region	Title_RIF_Missing	pkg_link	License	pkg_Content_ID	last_modified	pkg_File_Size		VERSION
PCSB00751	EU	Hyperdimension Neptunia Re;Birth3: V Generation Custom Theme          [ID: PSVITATHEME00001]	http://zeus.dl.playstation.net/cdn/EP0031/PCSB00751_00/EP0031-PCSB00751_00-PSVITATHEME00001_bg_1_d986b0cb531fecab470176e07ad47eb1814b16da.pkg	KO5ifR1dQ+e7BgDtN4SqNjc1BNkfEBzmGeIY4uHq6wq2E5//Cr/ueLV2z4E7MvEb66T4c36PxvjgBgBO1hXf	EP0031-PCSB00751_00-PSVITATHEME00001	2021/04/20	5223472		01.00
PCSB00751	EU	Hyperdimension Neptunia Re;Birth3: V Generation CPU Custom Theme          [ID: PSVITATHEME00002]	http://zeus.dl.playstation.net/cdn/EP0031/PCSB00751_00/EP0031-PCSB00751_00-PSVITATHEME00002_bg_1_e039c526c204a964493b2bcd1e28310c1f896bce.pkg	KO5ifR1dQ+e7BgDtN4SqNjc1BNkfEBzmGeIY4uHq6wp2Az7/TVH6E57BWNH11VS7dmdc1qvRGB/cAACjoBRK	EP0031-PCSB00751_00-PSVITATHEME00002	2021/04/20	7413616		01.00
PCSB00751	EU	Hyperdimension Neptunia Re;Birth3: V Generation CPU Candidate Custom Theme          [ID: PSVITATHEME00003]	http://zeus.dl.playstation.net/cdn/EP0031/PCSB00751_00/EP0031-PCSB00751_00-PSVITATHEME00003_bg_1_1f7600be6e62978ae9c09a89ea98a13342a73e3d.pkg	KO5ifR1dQ+e7BgDtN4SqNjc1BNkfEBzmGeIY4uHq6wp2Hj7/TW90E3E8viJn2tulfMsZY5NHY3xwAwDN5RPG	EP0031-PCSB00751_00-PSVITATHEME00003	2021/04/20	6076240		01.00
PCSB01032	EU	Hakuoki: Kyoto Winds Chibi Character Theme          [ID: KAZETHEME0000000]	http://zeus.dl.playstation.net/cdn/EP0031/PCSB01032_00/EP0031-PCSB01032_00-KAZETHEME0000000_bg_1_5ffd4a66a6742c1d8176c98fd54bbb11fe867915.pkg	KO5ifR1dQ+e7BgDtN4SoNjQwNgLZ7+0Y5Rri4errCrUUn//yfdd27plxpf2XYuJ9zTkr14/G+OAGAF5/FV0A	EP0031-PCSB01032_00-KAZETHEME0000000	2020/01/01	1991456		01.00
PCSB01059	EU	Mary Skelter: Nightmares - Dengeki Original Theme          [ID: ADDCONTENTDLC006]	http://zeus.dl.playstation.net/cdn/EP0031/PCSB01059_00/EP0031-PCSB01059_00-ADDCONTENTDLC006_bg_1_8b96e458c55554b6484982e510301005c3599c80.pkg	KO5ifR1dQ+e7BgDtN4SoNjQwtUSy39UvxMUHaLYZPv991pluHDGnuC2zbp5d6++jM0djfHADAAtuFSMA	EP0031-PCSB01059_00-ADDCONTENTDLC006	2020/01/01	5671792		01.00
PCSB01059	EU	Mary Skelter: Nightmares - Original Theme          [ID: ADDCONTENTDLC010]	http://zeus.dl.playstation.net/cdn/EP0031/PCSB01059_00/EP0031-PCSB01059_00-ADDCONTENTDLC010_bg_1_537f18ffdec164560e5e8d9afa2ff39b8864008e.pkg	KO5ifR1dQ+e7BgDtN4SoNjQwtUSy39UvxMXHGSiKz3+/1mo8OKo3QcpdRM8mbI5o2miMD24AAMv0EyUA	EP0031-PCSB01059_00-ADDCONTENTDLC010	2020/01/01	5090592		01.00
PCSB00951	EU	[*No zRIF] WORLD OF FINAL FANTASY: Theme          [ID: WORLDOFFFTHEME02]	http://zeus.dl.playstation.net/cdn/EP0082/PCSB00951_00/EP0082-PCSB00951_00-WORLDOFFFTHEME02_bg_1_383a436600f8f99dcd4f1aa2847b133dab574c34.pkg	NOT REQUIRED	EP0082-PCSB00951_00-WORLDOFFFTHEME02	2020/01/01	1539408		01.00
PCSB01163	EU	Secret of Mana Original Theme (1)          [ID: WALLPAPER01EUZZZ]	http://zeus.dl.playstation.net/cdn/EP0082/PCSB01163_00/EP0082-PCSB01163_00-WALLPAPER01EUZZZ_bg_1_1afff550de07ee3e642e1d71d9188ce9ca70f72e.pkg	KO5ifR1dQ+e7BgBdYQRRbWhoZgyyP9zRxyfAMcA1yMDQNTQqKgqf/3Rmnnww85rytdTq0IcLt7xIGI3xwQ0AjVoWmwAA	EP0082-PCSB01163_00-WALLPAPER01EUZZZ	2020/01/01	713472		01.00
PCSB01163	EU	Secret of Mana Original Theme (2)          [ID: WALLPAPER02EUZZZ]	http://zeus.dl.playstation.net/cdn/EP0082/PCSB01163_00/EP0082-PCSB01163_00-WALLPAPER02EUZZZ_bg_1_ea1f97d61f95059acf182ca0308fed01f9c14b28.pkg	KO5ifR1dQ+e7BgBdYQRRbWhoZgyyP9zRxyfAMcA1yMDINTQqKgqf/7atrtKrmRy86G60s/vh1pXpozE+uAEARuUVOgAA	EP0082-PCSB01163_00-WALLPAPER02EUZZZ	2020/01/01	745664		01.00
PCSB01090	EU	Valkyria Revolution: Vanargand Theme          [ID: ETH0000000001339]	http://zeus.dl.playstation.net/cdn/EP0177/PCSB01090_00/EP0177-PCSB01090_00-ETH0000000001339_bg_1_4a4ca4c89dffe766c5624adc3033d0b199eedd16.pkg	KO5ifR1dQ+e7BhgYmptDVBsaWILtdw3xQFhobGyJz3+H6/ILK6PkpqY7nZkic+TFzNEYH9wAAL9RE9cA	EP0177-PCSB01090_00-ETH0000000001339	2020/01/01	1531408		01.00
